[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'synchonize' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Опрос устройства: '4300'
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'connect' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=4300 --parametr=4100 --timeout=2000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'connect' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Опрос устройства: '15'
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'tm_energy' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=15 --timeout=500 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'tm_energy' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'synchonize' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=15 --timeout=500 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'synchonize' завершён с кодом: 1
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Опрос устройства: '23'
[ 2013-07-31 16:40:10 | АСКУЭ | OK ]: Запуск скрипта 'synchonize' с параметрами: --port_file=/dev/ttyS1 --port_parity=no --port_dbits=8 --port_sbits=1 --port_speed=9600 --device=23 --timeout=3000 --journal_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.db.sqlite3 --journal_flashback=0 --log_file=/home/axard/workspace/Repos/askue-repo/askue/src/askue.log --verbose
[ 2013-07-31 16:40:10 | АСКУЭ | ERROR ]: Скрипт 'synchonize' завершён с кодом: 1
